qual_pos,pit_count,laps_completed,avg_lap_sec,fastest_lap_sec,career_avg_finish,career_race_count,qual_vs_career,track_avg_finish,expected_value,raceId,driverId
-4.2258353,-0.4542709,-0.34254295,-0.12809429,0.22906119,-1.851965,-0.25781778,-0.23981544,-0.058604334,9.141454,926,1
-3.979076,-0.5008413,-0.42964783,-0.057052027,0.20128977,-1.6351719,0.08822721,-0.3526882,-0.16214326,9.141454,926,3
-3.624725,-0.6374386,-0.34851718,-0.026655171,0.2328176,-0.6364874,-0.091657095,-0.49216327,-0.14825067,9.141454,926,20
-3.9839685,-0.576902,-0.34294823,-0.06556634,0.11441174,-0.065949395,0.08147596,-0.6224955,-0.21742313,9.141454,926,13
0.2812613,-0.54049915,-0.7005196,-0.33858803,-0.18478179,0.8971837,0.10768397,-0.2635927,-1.1472999,9.141454,926,831
-0.88852996,-0.48162124,-0.35562062,-0.48096386,-0.028109483,-0.31588238,-0.06308805,-0.084710956,-0.31217828,9.141454,926,817
1.9548346,0.1279293,-0.47536165,-1.3101933,-0.079468176,0.10492102,0.17913935,-0.075865306,-0.579673,9.141454,926,807
2.0458856,0.2619029,-0.5950014,-1.3223368,0.15657938,0.686098,-0.12199433,0.37700996,-0.94081587,9.141454,926,828
-0.20045894,-0.32523742,-0.33275265,-0.5645418,0.044252686,-0.3153763,0.04768996,0.48969346,-0.17869632,9.141454,926,832
2.112765,-0.5715474,-0.20090838,-0.5743475,0.046986364,-0.84398633,-0.3446395,0.59173495,-0.36386055,9.141454,926,815
2.3616776,-0.71130425,0.2792479,-0.050535664,0.115005136,0.12302024,0.14055568,0.471568,-0.79932153,9.141454,926,18
-4.2348156,0.031820767,-0.07433001,-0.38367113,-0.860589,-0.74268246,-0.1615589,-0.6151459,-0.34959894,9.141454,927,20
-4.450667,0.7472882,-0.18503681,-0.39999884,-0.30461612,-2.2132533,-0.13161168,-0.1770374,-0.3503022,9.141454,927,1
-3.5397146,0.5324507,-0.2502569,-0.3265534,-0.24178226,-1.8794061,-0.018401342,0.16795422,-0.39704603,9.141454,927,3
0.6519545,0.7007751,-0.09264051,-0.65531206,-0.77047163,-0.5457165,0.16108634,0.4134999,-0.41775218,9.141454,927,8
-0.46534368,0.50168484,-0.16192459,-0.44716847,-0.9297932,-0.46201998,0.31397596,0.18633783,-0.64689153,9.141454,927,822
-1.0972855,0.6208177,-0.15109201,-0.5610514,-0.691154,-0.30573502,-0.03313971,-0.11377331,-0.25633952,9.141454,927,13
-1.8986626,0.955203,-0.35706395,-0.28360504,-0.69890547,-2.3481522,-0.13335131,0.14144441,-0.3331777,9.141454,927,830
1.9905922,0.117846,0.6765444,-0.7308149,-0.2180203,-0.9661488,-0.002989906,-0.13366848,-0.1895669,9.141454,927,832
-1.9106889,1.1405385,0.9421661,0.03259994,-0.42086297,0.454813,0.024387425,-0.68009734,-0.15761502,9.141454,927,826
-3.0871706,1.6057354,1.5687953,-0.04119044,-0.019085838,-0.2140384,0.051671363,-0.2611712,-0.24731365,9.141454,927,817
-0.28393897,0.77445054,1.000458,-0.12413472,-0.2947478,0.8822994,-0.049852423,-0.33951873,-0.064751185,9.141454,927,154
1.9397112,0.868641,0.71987796,-0.29594225,-0.5631,1.1806439,-0.020667778,0.47636527,-0.35858455,9.141454,927,831
2.2535846,0.16556033,0.83024377,0.011352539,0.08339286,-0.99327236,-0.2444849,1.0249662,-0.18435453,9.141454,927,815
1.4316719,1.0127981,0.9378922,0.19999975,-0.35960266,0.43485537,0.21169555,0.49408427,-0.1088997,9.141454,927,807
3.1037152,0.6073715,0.13430981,-0.2586021,0.2529983,2.1226206,-0.11531376,0.19112442,-0.46779543,9.141454,927,833
-4.3862844,-0.06611907,0.039984163,-0.84356666,0.084009364,-2.3217585,-0.21240595,-0.2796186,0.2349273,9.141454,928,1
-4.0081277,-0.023633292,-0.043044362,-0.80743736,-0.29440102,-2.1712673,0.10812168,-0.34910503,0.16910689,9.141454,928,3
-3.9912214,0.025686525,0.02836384,-0.860943,-0.44210452,-0.8797473,-0.14212282,-0.3149597,0.19341403,9.141454,928,20
-2.456459,-0.063992575,-0.067071326,-1.2337583,-0.17120104,-0.64350206,-0.05380208,-0.457071,-0.022860121,9.141454,928,8
-3.7710712,0.03357622,-0.023748724,-1.0109088,-0.45973295,-0.3022372,0.08731222,-0.25080028,0.17952949,9.141454,928,13
-2.5730455,-0.09898064,-0.09129218,-1.1870347,-0.078396164,-0.5315347,0.24072619,-0.41211995,0.37459415,9.141454,928,822
-0.45099548,0.14449757,0.18562356,-1.0979208,-0.14112352,1.1678046,0.037208255,-0.3328217,0.34122375,9.141454,928,154
-0.64734757,0.04036385,0.07849745,-1.0033885,-0.5664703,1.5593519,0.4612197,-0.4817919,0.4060532,9.141454,928,831
-1.0746498,-0.00809796,0.14014183,-0.1512181,0.09834342,-0.41558146,0.035440937,-0.0075309286,0.16733895,9.141454,928,817
0.74179757,0.0726685,0.61661935,-0.10236622,-0.630516,1.5735954,0.031772915,-0.5206878,0.36952752,9.141454,928,828
1.9090897,0.9547322,1.1122105,-0.40881053,-0.42660627,-1.0990317,-0.5362129,0.60315573,0.30695042,9.141454,928,815
2.8896263,0.0039547114,0.8011009,-0.37795335,-0.36120373,-0.9401305,0.07562811,0.90669936,0.35464913,9.141454,928,4
2.2076108,0.20858149,0.7766529,-0.11229272,0.0011722691,-0.99436796,-0.022761758,1.0231632,0.44906268,9.141454,928,832
2.5350795,0.14390153,0.8141657,-0.16181193,-0.09045436,0.33658946,0.09638129,0.6679466,0.6647947,9.141454,928,18
3.1893039,-0.01961852,0.8655633,-0.4171376,-0.23993222,2.3817232,0.0069154943,0.3289163,0.47668535,9.141454,928,829
3.437335,-0.01810207,0.8405117,-0.30898738,-0.25874186,2.4288025,0.04521688,0.455205,0.64328974,9.141454,928,833
2.9299052,0.2736668,1.9589884,-0.33766967,0.5657177,-1.8858225,0.16680506,2.6770859,0.6793755,9.141454,928,830
-4.3462257,-0.08386966,-0.42670813,-0.39100954,-0.10862595,-2.153503,-0.18494669,-0.26039585,-0.0057521616,9.141454,929,1
-3.8083282,0.059842564,-0.48698875,-0.4818738,-0.39070466,-0.35605657,0.10191065,-0.3665524,0.041601527,9.141454,929,8
-3.5355191,0.047749568,-0.56066275,-0.648007,-0.24307121,-1.6047366,0.13469164,0.10386328,-0.005169836,9.141454,929,3
-2.519126,-0.08585071,-0.52797496,-0.29828423,-0.1220523,-0.37837595,0.026882615,-0.4784818,-0.071482375,9.141454,929,822
-4.2098827,0.763817,-0.705104,-0.41986024,-0.25182572,-0.46912464,-0.09597689,-0.57195175,0.14220561,9.141454,929,20
-1.0381254,-0.05662067,-0.59300274,0.090946175,-0.096053615,-0.3563408,0.048238277,-0.08561147,0.15809861,9.141454,929,817
0.60623044,0.11290987,-0.81320024,-0.6741486,-0.26514655,0.7463314,0.108548015,-0.01922275,0.09878642,9.141454,929,154
0.3102256,-0.009990113,0.25762138,-0.32581398,-0.07484901,-1.0396479,-0.63375545,-0.3276284,0.1512316,9.141454,929,815
2.740119,0.18226014,0.33730996,-0.3392673,0.012826935,0.22947147,-0.24264652,0.734089,0.24621515,9.141454,929,826
-2.1326435,-0.023699317,-0.019052312,-0.46720338,-0.25426617,-0.25634167,0.25925797,-0.04808736,0.087653965,9.141454,929,13
2.2518911,0.19267575,0.24196938,-0.44417563,-0.12383436,-0.8276459,0.07367311,0.12770882,0.23784472,9.141454,929,4
0.8003644,0.8616829,0.10647836,-0.44384974,-0.03736198,1.2055688,0.1489714,-0.04350589,0.3253138,9.141454,929,831
-0.51056844,1.0520663,0.33825082,-0.22380164,0.08802041,1.0316836,0.14297983,0.1427196,0.3737647,9.141454,929,807
1.7595019,0.82416576,0.22817731,-0.37382847,0.027611332,1.1719247,-0.0028800725,0.11123697,0.31199643,9.141454,929,828
2.1853025,0.93302023,0.42965686,-0.31105173,0.12899373,0.31530717,0.12502892,0.6731516,0.27714112,9.141454,929,813
3.0344706,-0.020671152,0.5312377,-0.43854666,0.07795638,2.342868,0.03703201,0.5314496,0.22624408,9.141454,929,829
3.2011185,0.009768033,1.0432765,-0.35708702,0.2335537,1.8426576,-0.014807038,-0.04134113,0.12563506,9.141454,929,833
-4.729031,-0.06535845,-0.7032738,-0.091364,-0.29711264,-1.9647218,0.07330792,-0.50833404,-0.3013919,9.141454,930,3
-3.6406784,0.581122,-1.0246519,-0.49280182,-0.28253263,-2.2261734,-0.106020965,-0.23652922,-0.2464577,9.141454,930,1
-4.0805187,0.03121077,-0.5722878,-0.42753947,0.12304422,-0.610127,-0.123701215,-0.4005111,-0.2495623,9.141454,930,20
-4.011651,0.014723033,-0.5345709,-0.41307917,-0.027388753,-0.35627514,0.1528852,-0.39911976,-0.20354056,9.141454,930,822
-1.4059253,-0.051961217,-0.582367,-0.5599957,-0.056113526,-0.44079632,0.010941744,-0.17653732,-0.468987,9.141454,930,8
-0.46888447,0.2941085,-1.099031,-0.3095615,-0.06976398,-0.4675725,0.10359595,-0.005915572,-0.53961563,9.141454,930,13
0.23731746,-0.10393398,-0.20608135,-0.17111906,0.26560217,-0.78759116,-0.059490703,0.30329934,-0.16013657,9.141454,930,817
0.90837955,-0.0020145772,-0.09220263,0.061060958,0.13652106,0.8009676,0.1787577,0.061909534,-0.17696762,9.141454,930,154
-2.0958843,-0.21865597,0.14055617,0.09308805,0.21748058,-0.29605186,0.03503373,0.3175466,-0.16214092,9.141454,930,832
-0.44485575,-0.055814777,0.107681036,1.7323939e-05,0.08132885,0.63089186,-0.0018252606,0.0061638216,-0.19661659,9.141454,930,826
-1.9803909,-0.25619245,-0.06929206,-0.042219177,0.35568735,-2.1711977,-0.31325334,0.4298907,-0.10299625,9.141454,930,830
1.9433123,-0.01241489,-0.08107974,-0.16835968,0.15874933,1.3310713,0.12834366,0.43926227,-0.14845553,9.141454,930,831
3.1254923,-0.118820295,0.11512623,0.14643615,0.30995017,-0.7329861,-0.668392,1.114947,0.19244173,9.141454,930,815
2.1198862,0.029598704,0.16603956,-0.24294713,0.1990619,1.1943249,0.041294754,0.55227137,-0.066757455,9.141454,930,828
2.6612036,0.86724526,0.23462775,-0.20311475,0.20593084,0.29735112,0.2561881,0.8476946,0.051843718,9.141454,930,807
