raceId,year,round,circuitId,race_name,date,race_datetime,circuit_name,location,country,race_total_laps,circuit_avg_first_pit_lap
931,2015,6,6,Monaco Grand Prix,2015-05-24,2015-05-24 12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,78.0,24.138157894736842
932,2015,7,7,Canadian Grand Prix,2015-06-07,2015-06-07 18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,70.0,21.51094890510949
929,2015,4,3,Bahrain Grand Prix,2015-04-19,2015-04-19 15:00:00,Bahrain International Circuit,Sakhir,Bahrain,57.0,13.221052631578948
930,2015,5,4,Spanish Grand Prix,2015-05-10,2015-05-10 12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,66.0,17.47486033519553
928,2015,3,17,Chinese Grand Prix,2015-04-12,2015-04-12 06:00:00,Shanghai International Circuit,Shanghai,China,56.0,12.34862385321101
926,2015,1,1,Australian Grand Prix,2015-03-15,2015-03-15 05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,58.0,16.59349593495935
927,2015,2,2,Malaysian Grand Prix,2015-03-29,2015-03-29 07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,56.0,14.183673469387756
933,2015,8,70,Austrian Grand Prix,2015-06-21,2015-06-21 12:00:00,Red Bull Ring,Spielberg,Austria,71.0,22.298076923076923
934,2015,9,9,British Grand Prix,2015-07-05,2015-07-05 12:00:00,Silverstone Circuit,Silverstone,UK,52.0,14.304878048780488
936,2015,10,11,Hungarian Grand Prix,2015-07-26,2015-07-26 12:00:00,Hungaroring,Budapest,Hungary,69.0,18.427672955974842
937,2015,11,13,Belgian Grand Prix,2015-08-23,2015-08-23 12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,43.0,10.580882352941176
938,2015,12,14,Italian Grand Prix,2015-09-06,2015-09-06 12:00:00,Autodromo Nazionale di Monza,Monza,Italy,53.0,20.986842105263158
939,2015,13,15,Singapore Grand Prix,2015-09-20,2015-09-20 12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,61.0,16.64864864864865
940,2015,14,22,Japanese Grand Prix,2015-09-27,2015-09-27 05:00:00,Suzuka Circuit,Suzuka,Japan,53.0,12.771428571428572
941,2015,15,71,Russian Grand Prix,2015-10-11,2015-10-11 11:00:00,Sochi Autodrom,Sochi,Russia,53.0,19.403361344537814
942,2015,16,69,United States Grand Prix,2015-10-25,2015-10-25 19:00:00,Circuit of the Americas,Austin,USA,56.0,15.039370078740157
943,2015,17,32,Mexican Grand Prix,2015-11-01,2015-11-01 19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,71.0,22.05
944,2015,18,18,Brazilian Grand Prix,2015-11-15,2015-11-15 16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,71.0,13.948529411764707
945,2015,19,24,Abu Dhabi Grand Prix,2015-11-29,2015-11-29 13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,55.0,17.26875
948,2016,1,1,Australian Grand Prix,2016-03-20,2016-03-20 05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,57.0,16.59349593495935
949,2016,2,3,Bahrain Grand Prix,2016-04-03,2016-04-03 15:00:00,Bahrain International Circuit,Sakhir,Bahrain,57.0,13.221052631578948
950,2016,3,17,Chinese Grand Prix,2016-04-17,2016-04-17 06:00:00,Shanghai International Circuit,Shanghai,China,56.0,12.34862385321101
951,2016,4,71,Russian Grand Prix,2016-05-01,2016-05-01 12:00:00,Sochi Autodrom,Sochi,Russia,53.0,19.403361344537814
952,2016,5,4,Spanish Grand Prix,2016-05-15,2016-05-15 12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,66.0,17.47486033519553
953,2016,6,6,Monaco Grand Prix,2016-05-29,2016-05-29 12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,78.0,24.138157894736842
954,2016,7,7,Canadian Grand Prix,2016-06-12,2016-06-12 18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,70.0,21.51094890510949
955,2016,8,73,European Grand Prix,2016-06-19,2016-06-19 13:00:00,Baku City Circuit,Baku,Azerbaijan,51.0,12.26126126126126
956,2016,9,70,Austrian Grand Prix,2016-07-03,2016-07-03 12:00:00,Red Bull Ring,Spielberg,Austria,71.0,22.298076923076923
957,2016,10,9,British Grand Prix,2016-07-10,2016-07-10 12:00:00,Silverstone Circuit,Silverstone,UK,52.0,14.304878048780488
958,2016,11,11,Hungarian Grand Prix,2016-07-24,2016-07-24 12:00:00,Hungaroring,Budapest,Hungary,70.0,18.427672955974842
959,2016,12,10,German Grand Prix,2016-07-31,2016-07-31 12:00:00,Hockenheimring,Hockenheim,Germany,67.0,14.62
960,2016,13,13,Belgian Grand Prix,2016-08-28,2016-08-28 12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,44.0,10.580882352941176
961,2016,14,14,Italian Grand Prix,2016-09-04,2016-09-04 12:00:00,Autodromo Nazionale di Monza,Monza,Italy,53.0,20.986842105263158
962,2016,15,15,Singapore Grand Prix,2016-09-18,2016-09-18 12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,61.0,16.64864864864865
963,2016,16,2,Malaysian Grand Prix,2016-10-02,2016-10-02 07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,56.0,14.183673469387756
964,2016,17,22,Japanese Grand Prix,2016-10-09,2016-10-09 05:00:00,Suzuka Circuit,Suzuka,Japan,53.0,12.771428571428572
965,2016,18,69,United States Grand Prix,2016-10-23,2016-10-23 19:00:00,Circuit of the Americas,Austin,USA,56.0,15.039370078740157
966,2016,19,32,Mexican Grand Prix,2016-10-30,2016-10-30 19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,71.0,22.05
967,2016,20,18,Brazilian Grand Prix,2016-11-13,2016-11-13 16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,71.0,13.948529411764707
968,2016,21,24,Abu Dhabi Grand Prix,2016-11-27,2016-11-27 13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,55.0,17.26875
969,2017,1,1,Australian Grand Prix,2017-03-26,2017-03-26 05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,57.0,16.59349593495935
970,2017,2,17,Chinese Grand Prix,2017-04-09,2017-04-09 06:00:00,Shanghai International Circuit,Shanghai,China,56.0,12.34862385321101
971,2017,3,3,Bahrain Grand Prix,2017-04-16,2017-04-16 15:00:00,Bahrain International Circuit,Sakhir,Bahrain,57.0,13.221052631578948
972,2017,4,71,Russian Grand Prix,2017-04-30,2017-04-30 12:00:00,Sochi Autodrom,Sochi,Russia,52.0,19.403361344537814
973,2017,5,4,Spanish Grand Prix,2017-05-14,2017-05-14 12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,66.0,17.47486033519553
974,2017,6,6,Monaco Grand Prix,2017-05-28,2017-05-28 12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,78.0,24.138157894736842
975,2017,7,7,Canadian Grand Prix,2017-06-11,2017-06-11 18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,70.0,21.51094890510949
976,2017,8,73,Azerbaijan Grand Prix,2017-06-25,2017-06-25 13:00:00,Baku City Circuit,Baku,Azerbaijan,51.0,12.26126126126126
977,2017,9,70,Austrian Grand Prix,2017-07-09,2017-07-09 12:00:00,Red Bull Ring,Spielberg,Austria,71.0,22.298076923076923
978,2017,10,9,British Grand Prix,2017-07-16,2017-07-16 12:00:00,Silverstone Circuit,Silverstone,UK,51.0,14.304878048780488
979,2017,11,11,Hungarian Grand Prix,2017-07-30,2017-07-30 12:00:00,Hungaroring,Budapest,Hungary,70.0,18.427672955974842
980,2017,12,13,Belgian Grand Prix,2017-08-27,2017-08-27 12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,44.0,10.580882352941176
981,2017,13,14,Italian Grand Prix,2017-09-03,2017-09-03 12:00:00,Autodromo Nazionale di Monza,Monza,Italy,53.0,20.986842105263158
982,2017,14,15,Singapore Grand Prix,2017-09-17,2017-09-17 12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,58.0,16.64864864864865
983,2017,15,2,Malaysian Grand Prix,2017-10-01,2017-10-01 07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,56.0,14.183673469387756
984,2017,16,22,Japanese Grand Prix,2017-10-08,2017-10-08 05:00:00,Suzuka Circuit,Suzuka,Japan,53.0,12.771428571428572
985,2017,17,69,United States Grand Prix,2017-10-22,2017-10-22 19:00:00,Circuit of the Americas,Austin,USA,56.0,15.039370078740157
986,2017,18,32,Mexican Grand Prix,2017-10-29,2017-10-29 19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,71.0,22.05
987,2017,19,18,Brazilian Grand Prix,2017-11-12,2017-11-12 16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,71.0,13.948529411764707
988,2017,20,24,Abu Dhabi Grand Prix,2017-11-26,2017-11-26 13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,55.0,17.26875
989,2018,1,1,Australian Grand Prix,2018-03-25,2018-03-25 05:10:00,Albert Park Grand Prix Circuit,Melbourne,Australia,58.0,16.59349593495935
990,2018,2,3,Bahrain Grand Prix,2018-04-08,2018-04-08 15:10:00,Bahrain International Circuit,Sakhir,Bahrain,57.0,13.221052631578948
991,2018,3,17,Chinese Grand Prix,2018-04-15,2018-04-15 06:10:00,Shanghai International Circuit,Shanghai,China,56.0,12.34862385321101
